,dfb_Intercept,dfb_x1,dfb_x2,dfb_x3,dfb_x5,dfb_x3:x5,cooks_d,standard_resid,hat_diag,dffits_internal,student_resid,dffits,flag_outlier,flag_leverage,flag_cooks
19,0.08001027678428863,-0.011600192235487706,-0.0552548650394621,-0.19852127931007066,0.2552661948369552,-0.5370024777801142,0.08763354147189407,2.546480618392052,0.07500340776568049,0.7251215407304934,2.576211580668122,0.7335875628228338,False,True,True
33,0.11829893100582806,-0.1552500916799504,0.13246509723007108,-0.014085420439247492,0.1931543107838048,-0.10548629096728164,0.017146874885232907,2.270944532677081,0.01955891139401459,0.3207510706317244,2.2909564961491857,0.32357758559796784,False,False,True
36,0.16164895239523638,-0.06547982884911407,0.06310059874855199,0.0982267490042963,-0.2394670402653385,-0.11823411179984307,0.016747114914805034,2.072376393193402,0.022861776770443376,0.31699004635608075,2.0868102125160473,0.3191978388551693,False,False,True
45,-0.010516936852823913,0.02883084284789141,-0.022944897651577124,0.011631417394690258,-0.016788016127411695,0.03049724588233591,0.0005054521813974662,-0.23053992224764042,0.05398076179154179,-0.05507007434519039,-0.23008460723736363,-0.054961311267533536,False,True,False
50,-0.005307049467411286,-0.0009771248283453847,-0.0008051859456690099,0.00984801680013315,0.005935736209543441,-0.011263072585815572,3.9393677459181405e-05,-0.06070739617237664,0.0602695388191508,-0.015374071183492303,-0.06058125554978363,-0.015342126230601088,False,True,False
56,0.018262918322552765,0.024663004081487794,-0.02576653038006181,-0.03747290235898791,-0.030717766351487253,0.04892352029079951,0.0008139544956436237,0.26518055321502976,0.06493933262601242,0.0698836674328254,0.2646662939013867,0.06974814344204572,False,True,False
58,-0.18794797793781198,-0.23451618940923405,0.12493492702758878,-0.11082220724435794,-0.2865015505208387,-0.34609302096222827,0.06449651375068008,-2.577818290041188,0.055030167328323186,-0.622076428185541,-2.608812296110156,-0.6295558694886889,False,True,True
61,-0.052423150630009525,0.050075983366045136,-0.03826468396148795,-0.13338396100050232,0.0644311551022029,0.15453254570931657,0.007171979262573175,-0.7273444013445792,0.07522243060980882,-0.20744125813212533,-0.7266288113195412,-0.2072371692646971,False,True,False
62,0.046996269048460354,-0.06063726121613348,0.06954441355229392,0.049116958692401236,0.03767446861803991,0.07451564786342808,0.003134028280803443,0.5949889501634549,0.0504382018227902,0.13712829644103605,0.5941864848684775,0.13694335065536545,False,True,False
84,-0.0704571247323566,-0.024336654179103693,0.02511100040828762,0.16489415834969023,0.1112329967594056,-0.2124420065727139,0.011951204640757556,-0.92457444953989,0.07739204999677848,-0.2677820528798473,-0.9242937967160653,-0.26770076814464,False,True,False
95,0.006023424278378969,0.0001585157555210191,0.0022536628563444394,-0.01756092430250557,-0.002922936804705001,0.009782864211781855,6.527435897975263e-05,0.07735879633674277,0.06142477106962109,0.019790051891759045,0.07719842642242024,0.019749025801946266,False,True,False
107,-0.07613367245835936,-0.11859718505349075,0.1078089993847404,-0.116845275036983,-0.092577813414071,-0.16818395183752927,0.014789947878938016,-1.2302805157867516,0.0553816607208136,-0.29789207319703576,-1.2316045328110243,-0.29821266201499047,False,True,False
119,-0.038630888552275054,-0.00035601184040275535,-0.0056273452538321295,0.07310109966842168,0.050559982539588856,-0.08898115729192482,0.002264381908048076,-0.47186230507884164,0.05751046679953525,-0.11656024814785038,-0.4710968073474908,-0.11637115356546376,False,True,False
130,-0.09479738410380141,0.018535633655936273,0.02736393354057446,-0.18069793380664861,0.14541767646844164,0.20578158648127476,0.017331462125882456,-1.5492873063574346,0.04152442045042022,-0.32247290235815895,-1.5538459531223925,-0.32342175157875824,False,False,True
145,-0.02275379904893881,-0.021872404000881494,0.0429770549089193,-0.05277169879118464,-0.04103505118056978,-0.09574055785064309,0.0038544836351328327,-0.5169725751198044,0.0796415073240761,-0.15207531624427742,-0.5161819112120616,-0.15184273047551577,False,True,False
154,-0.028983860993708945,-0.02239898785505263,0.023385977403841247,0.04472113447829567,-0.08078142362229487,0.12965305381585882,0.005210921778523246,-0.7249713987639066,0.056147227200421895,-0.17682061721173659,-0.7242529318637968,-0.17664538304258148,False,True,False
156,0.03408005434715897,-0.102010380113175,0.09125886300019623,0.027332659179692586,0.025678546445194204,0.025659268873943063,0.0024067087665464405,0.5147216023578938,0.051687042620523614,0.12016760212003334,0.5139318918649483,0.11998323523923492,False,True,False
